maxPlayerLevel;numberOfAttemptedLevels;attemptsOnTheHighestLevel;totalNumOfAttempts;averageNumOfTurnsPerCompletedLevel;doReturnOnLowerLevels;numberOfBoostersUsed;fractionOfUsefullBoosters;totalScore;totalBonusScore;totalStarsCount;numberOfDaysActuallyPlayed;last_lvl_completed;upd_totalNumOfAttempts;upd_averageNumOfTurnsPerCompletedLevel;upd_numberOfBoostersUsed;upd_totalScore;upd_totalBonusScore;upd_totalStarsCount;upd_numberOfDaysActuallyPlayed;upd_completed_levels;upd_start_level
0;1;1;1;3.0;0;0;0.0;113000;250;0;1;0.0;1.0;3.0;0.0;113000.0;250.0;0.0;1.0;0.0;0.0
0;1;1;1;3.0;0;0;0.0;125000;250;0;1;0.0;1.0;3.0;0.0;125000.0;250.0;0.0;1.0;0.0;0.0
58;59;13;210;19.7796610169;1;28;0.5357142857;13813000;9425;125;12;0.0;210.0;19.7796610169;28.0;13813000.0;9425.0;125.0;12.0;58.0;0.0
10;11;3;14;13.9;0;3;0.6666666667;1963000;1875;26;1;0.0;14.0;13.9;3.0;1963000.0;1875.0;26.0;1.0;10.0;0.0
7;8;1;8;12.625;0;4;1.0;1780000;1550;16;1;0.0;8.0;12.625;4.0;1780000.0;1550.0;16.0;1.0;7.0;0.0
5;6;1;6;9.6;0;1;1.0;1043000;1075;13;1;0.0;6.0;9.6;1.0;1043000.0;1075.0;13.0;1.0;5.0;0.0
2;3;1;3;5.0;0;0;0.0;438000;750;6;1;0.0;3.0;5.0;0.0;438000.0;750.0;6.0;1.0;2.0;0.0
1;2;2;3;0.0;1;0;0.0;0;0;0;1;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
10;11;3;15;13.2;0;5;0.6;1690000;1675;24;1;0.0;15.0;13.2;5.0;1690000.0;1675.0;24.0;1.0;10.0;0.0
3;4;1;4;8.25;0;0;0.0;837000;1000;9;1;0.0;4.0;8.25;0.0;837000.0;1000.0;9.0;1.0;3.0;0.0
2;3;1;3;9.0;0;0;0.0;534000;650;6;1;0.0;3.0;9.0;0.0;534000.0;650.0;6.0;1.0;2.0;0.0
6;7;1;7;12.142857142899999;0;2;1.0;1471000;1550;17;1;0.0;7.0;12.142857142899999;2.0;1471000.0;1550.0;17.0;1.0;6.0;0.0
34;1;5;5;0.0;0;0;0.0;0;0;0;1;0.0;102.66497802734375;16.943378448486328;15.1732177734375;7835474.5;5289.86865234375;66.73731994628906;9.698071479797363;0.0;34.0
0;1;1;1;3.0;0;0;0.0;113000;250;0;1;0.0;1.0;3.0;0.0;113000.0;250.0;0.0;1.0;0.0;0.0
7;8;1;8;12.2857142857;0;2;1.0;1141000;1350;17;1;0.0;8.0;12.2857142857;2.0;1141000.0;1350.0;17.0;1.0;7.0;0.0
21;5;4;10;20.0;1;1;0.0;1106000;650;9;1;0.0;46.983985900878906;15.431140218462263;4.928617238998413;5445042.0;3388.2099609375;41.57609939575195;4.605288743972778;4.0;17.0
15;16;1;26;15.1333333333;0;3;1.0;4007000;2575;34;1;0.0;26.0;15.1333333333;3.0;4007000.0;2575.0;34.0;1.0;15.0;0.0
47;10;1;45;18.555555555599998;0;2;0.0;1443000;1250;16;5;0.0;148.34142303466797;17.587709142815193;19.30044937133789;10824218.0;7304.30810546875;92.87078857421875;14.63989543914795;9.0;38.0
10;11;1;12;14.8181818182;0;3;1.0;2501000;2050;24;1;0.0;12.0;14.8181818182;3.0;2501000.0;2050.0;24.0;1.0;10.0;0.0
37;38;2;69;18.2702702703;0;11;0.8181818181999999;9794000;6525;87;6;0.0;69.0;18.2702702703;11.0;9794000.0;6525.0;87.0;6.0;37.0;0.0
6;7;1;7;9.8333333333;0;1;1.0;1054000;1300;16;1;0.0;7.0;9.8333333333;1.0;1054000.0;1300.0;16.0;1.0;6.0;0.0
0;1;1;1;3.0;0;0;0.0;150000;250;0;1;0.0;1.0;3.0;0.0;150000.0;250.0;0.0;1.0;0.0;0.0
27;28;1;38;16.444444444400002;0;11;0.8181818181999999;8863000;4825;63;2;0.0;38.0;16.444444444400002;11.0;8863000.0;4825.0;63.0;2.0;27.0;0.0
1;2;1;2;4.5;0;0;0.0;288000;500;3;1;0.0;2.0;4.5;0.0;288000.0;500.0;3.0;1.0;1.0;0.0
5;6;1;6;9.1666666667;0;1;1.0;1056000;1200;13;1;0.0;6.0;9.1666666667;1.0;1056000.0;1200.0;13.0;1.0;5.0;0.0
13;13;2;14;16.1666666667;0;4;0.75;2718000;2350;32;2;1.0;14.0;16.1666666667;4.0;2718000.0;2350.0;32.0;2.0;13.0;0.0
1;2;1;2;4.0;0;0;0.0;226000;400;3;1;0.0;2.0;4.0;0.0;226000.0;400.0;3.0;1.0;1.0;0.0
58;10;9;42;19.7777777778;0;5;0.4;1435000;1025;16;8;0.0;193.53115844726562;19.433661691077162;32.33152389526367;13382826.0;9311.2578125;125.24931335449219;17.06303310394287;9.0;49.0
8;9;2;11;14.5;0;4;0.75;1404000;1625;20;1;0.0;11.0;14.5;4.0;1404000.0;1625.0;20.0;1.0;8.0;0.0
13;14;4;22;14.6153846154;0;7;0.42857142859999997;3030000;2350;32;2;0.0;22.0;14.6153846154;7.0;3030000.0;2350.0;32.0;2.0;13.0;0.0
9;10;2;17;15.4444444444;0;3;0.6666666667;1653000;1625;20;3;0.0;17.0;15.4444444444;3.0;1653000.0;1625.0;20.0;3.0;9.0;0.0
3;4;1;4;10.5;0;0;0.0;672000;900;9;1;0.0;4.0;10.5;0.0;672000.0;900.0;9.0;1.0;3.0;0.0
9;10;2;11;13.5555555556;0;3;1.0;2139000;1875;23;2;0.0;11.0;13.5555555556;3.0;2139000.0;1875.0;23.0;2.0;9.0;0.0
6;7;1;7;11.7142857143;0;2;1.0;1226000;1375;16;1;0.0;7.0;11.7142857143;2.0;1226000.0;1375.0;16.0;1.0;6.0;0.0
21;22;1;35;17.2727272727;1;8;0.75;4980000;3900;50;4;0.0;35.0;17.2727272727;8.0;4980000.0;3900.0;50.0;4.0;21.0;0.0
17;17;3;19;18.0;0;7;0.8571428570999999;4235000;2700;36;1;1.0;19.0;18.0;7.0;4235000.0;2700.0;36.0;1.0;17.0;0.0
42;9;1;20;24.875;0;6;0.3333333333;1987000;1450;18;3;0.0;113.54730224609375;19.462541671026322;25.167482376098633;10564830.0;7102.9296875;92.55362701416016;10.22462272644043;8.0;34.0
50;51;11;122;19.42;0;16;0.6875;10579000;7800;102;8;0.0;122.0;19.42;16.0;10579000.0;7800.0;102.0;8.0;50.0;0.0
35;2;1;16;30.0;0;1;0.0;541000;250;3;6;0.0;106.51667785644531;17.199546813964844;15.8781156539917;8502229.0;5458.80078125;69.88005065917969;14.10869026184082;1.0;34.0
55;2;1;3;22.5;1;1;0.0;221000;0;2;1;1.0;170.52545166015625;17.919626582752574;25.474056243896484;12332926.0;8133.28271484375;106.29483795166016;10.380410194396973;2.0;53.0
33;34;3;76;17.3235294118;1;15;0.6666666667;8639000;5275;72;5;0.0;76.0;17.3235294118;15.0;8639000.0;5275.0;72.0;5.0;33.0;0.0
32;33;1;56;17.1818181818;0;24;0.6666666667;7990000;5400;72;6;0.0;56.0;17.1818181818;24.0;7990000.0;5400.0;72.0;6.0;32.0;0.0
3;4;1;4;7.0;0;0;0.0;511000;725;8;1;0.0;4.0;7.0;0.0;511000.0;725.0;8.0;1.0;3.0;0.0
26;27;1;46;16.8518518519;0;7;1.0;6634000;4350;55;4;0.0;46.0;16.8518518519;7.0;6634000.0;4350.0;55.0;4.0;26.0;0.0
5;6;1;6;9.0;0;1;1.0;1047000;900;11;1;0.0;6.0;9.0;1.0;1047000.0;900.0;11.0;1.0;5.0;0.0
15;16;1;33;14.8095238095;1;7;1.0;4483000;3125;41;2;0.0;33.0;14.8095238095;7.0;4483000.0;3125.0;41.0;2.0;15.0;0.0
2;3;1;3;4.6666666667;0;0;0.0;402000;750;6;1;0.0;3.0;4.6666666667;0.0;402000.0;750.0;6.0;1.0;2.0;0.0
5;6;2;8;8.5;1;1;1.0;1209000;1250;15;1;0.0;8.0;8.5;1.0;1209000.0;1250.0;15.0;1.0;5.0;0.0
5;6;1;6;9.1666666667;0;1;1.0;1381000;1400;15;1;0.0;6.0;9.1666666667;1.0;1381000.0;1400.0;15.0;1.0;5.0;0.0
10;11;1;15;13.6;0;1;1.0;1752000;1625;23;2;0.0;15.0;13.6;1.0;1752000.0;1625.0;23.0;2.0;10.0;0.0
9;10;3;12;13.5555555556;0;2;1.0;2560000;2050;25;1;0.0;12.0;13.5555555556;2.0;2560000.0;2050.0;25.0;1.0;9.0;0.0
65;14;2;90;19.1176470588;1;16;0.5;3614000;1950;28;11;0.0;254.3839111328125;19.36175725599828;42.18699073791504;16922162.0;10768.0947265625;142.5492172241211;19.554702758789062;13.0;52.0
17;18;2;28;16.0588235294;0;8;0.875;4346000;2900;39;2;0.0;28.0;16.0588235294;8.0;4346000.0;2900.0;39.0;2.0;17.0;0.0
10;11;1;15;13.9;0;5;1.0;2324000;2150;27;1;0.0;15.0;13.9;5.0;2324000.0;2150.0;27.0;1.0;10.0;0.0
2;3;1;3;6.666666666699999;0;0;0.0;338000;575;6;1;0.0;3.0;6.666666666699999;0.0;338000.0;575.0;6.0;1.0;2.0;0.0
13;14;1;25;14.6153846154;0;6;0.5;2411000;2250;31;1;0.0;25.0;14.6153846154;6.0;2411000.0;2250.0;31.0;1.0;13.0;0.0
11;12;1;12;13.6363636364;0;4;0.75;2063000;1775;25;1;0.0;12.0;13.6363636364;4.0;2063000.0;1775.0;25.0;1.0;11.0;0.0
22;2;1;3;18.0;1;1;0.0;417000;175;5;1;0.0;42.19069290161133;15.200583457946777;5.476025581359863;5271385.5;3222.7001953125;43.15877151489258;5.116091251373291;1.0;21.0
50;13;8;56;20.6666666667;1;7;0.7142857143000001;1838000;1250;19;9;0.0;138.7230682373047;19.25132911682929;21.814556121826172;13491408.0;8228.14013671875;111.10942840576172;14.536435604095459;12.0;38.0
50;1;9;9;0.0;0;6;0.0;0;0;0;4;0.0;171.86643981933594;18.234283447265625;28.664783477783203;11229590.0;7571.12109375;94.74272155761719;14.61522388458252;0.0;50.0
111;39;3;210;21.815789473699997;0;14;0.5714285714;7379000;6050;82;13;0.0;424.3077392578125;20.99619025153623;39.36726379394531;26551874.0;18345.1220703125;241.46241760253906;23.126248359680176;38.0;73.0
1;2;1;2;6.0;0;0;0.0;401000;500;3;1;0.0;2.0;6.0;0.0;401000.0;500.0;3.0;1.0;1.0;0.0
4;5;3;8;7.25;0;3;0.0;686000;825;10;1;0.0;8.0;7.25;3.0;686000.0;825.0;10.0;1.0;4.0;0.0
16;17;2;31;15.3125;0;4;0.75;4602000;3175;42;3;0.0;31.0;15.3125;4.0;4602000.0;3175.0;42.0;3.0;16.0;0.0
15;16;1;17;16.2;0;3;1.0;4739000;3200;40;2;0.0;17.0;16.2;3.0;4739000.0;3200.0;40.0;2.0;15.0;0.0
21;2;4;5;21.0;0;0;0.0;104000;0;1;2;0.0;46.15687561035156;16.162193661644345;4.794487953186035;4604630.5;3244.905517578125;39.349361419677734;6.258799076080322;1.0;20.0
29;30;3;37;17.366666666700002;1;11;0.9090909091;7684000;5150;67;7;0.0;37.0;17.366666666700002;11.0;7684000.0;5150.0;67.0;7.0;29.0;0.0
9;10;2;14;14.3636363636;1;3;0.6666666667;3276000;2150;26;1;0.0;14.0;14.3636363636;3.0;3276000.0;2150.0;26.0;1.0;9.0;0.0
55;55;6;183;19.15;1;21;0.6666666667;16807000;9425;125;12;1.0;183.0;19.15;21.0;16807000.0;9425.0;125.0;12.0;55.0;0.0
2;3;1;3;8.0;0;0;0.0;476000;750;6;1;0.0;3.0;8.0;0.0;476000.0;750.0;6.0;1.0;2.0;0.0
13;14;10;23;16.4615384615;0;5;0.8;3125000;2625;33;1;0.0;23.0;16.4615384615;5.0;3125000.0;2625.0;33.0;1.0;13.0;0.0
0;1;1;1;0.0;0;0;0.0;0;0;0;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
16;17;1;31;14.75;0;4;0.5;4279000;2825;37;2;0.0;31.0;14.75;4.0;4279000.0;2825.0;37.0;2.0;16.0;0.0
4;5;1;5;9.6;0;1;1.0;922000;1150;11;1;0.0;5.0;9.6;1.0;922000.0;1150.0;11.0;1.0;4.0;0.0
9;1;1;1;15.0;0;0;0.0;119000;0;0;1;0.0;11.125478744506836;13.738070487976074;1.2397761344909668;2107096.25;1732.4954833984375;18.166292190551758;2.4061272144317627;0.0;9.0
27;28;2;49;17.0740740741;0;11;0.7272727273;7668000;4825;63;5;0.0;49.0;17.0740740741;11.0;7668000.0;4825.0;63.0;5.0;27.0;0.0
9;10;1;10;14.1;0;4;1.0;1899000;2050;25;1;0.0;10.0;14.1;4.0;1899000.0;2050.0;25.0;1.0;9.0;0.0
2;3;1;3;4.0;0;0;0.0;458000;575;6;1;0.0;3.0;4.0;0.0;458000.0;575.0;6.0;1.0;2.0;0.0
14;15;1;16;15.7857142857;0;2;1.0;3385000;2700;34;3;0.0;16.0;15.7857142857;2.0;3385000.0;2700.0;34.0;3.0;14.0;0.0
4;5;1;5;9.2;0;1;1.0;1130000;1250;12;1;0.0;5.0;9.2;1.0;1130000.0;1250.0;12.0;1.0;4.0;0.0
24;2;1;2;24.5;0;2;1.0;535000;400;3;1;0.0;35.41978454589844;17.23220141728719;8.814780235290527;6987993.0;4578.873046875;52.160926818847656;3.932887077331543;1.0;23.0
41;42;1;107;19.0731707317;1;16;0.75;11162000;6850;89;7;0.0;107.0;19.0731707317;16.0;11162000.0;6850.0;89.0;7.0;41.0;0.0
6;7;1;7;11.0;0;2;1.0;1680000;1650;17;1;0.0;7.0;11.0;2.0;1680000.0;1650.0;17.0;1.0;6.0;0.0
10;11;1;11;13.7272727273;0;2;1.0;2369000;1775;23;1;0.0;11.0;13.7272727273;2.0;2369000.0;1775.0;23.0;1.0;10.0;0.0
12;13;1;17;15.3076923077;0;4;1.0;3070000;2175;26;2;0.0;17.0;15.3076923077;4.0;3070000.0;2175.0;26.0;2.0;12.0;0.0
2;3;1;3;4.6666666667;0;0;0.0;543000;750;6;1;0.0;3.0;4.6666666667;0.0;543000.0;750.0;6.0;1.0;2.0;0.0
39;6;17;45;25.5;0;8;0.0;793000;625;8;8;0.0;156.54535675048828;18.249719864282852;24.262889862060547;7478057.5;5285.58056640625;69.72260284423828;16.590888023376465;5.0;34.0
11;12;1;13;13.666666666700001;0;2;1.0;2987000;2275;28;1;0.0;13.0;13.666666666700001;2.0;2987000.0;2275.0;28.0;1.0;11.0;0.0
42;9;1;23;25.375;0;4;0.75;2461000;1550;19;9;0.0;79.9693489074707;19.549849555605935;19.312273025512695;11517556.0;7434.17822265625;96.34357452392578;13.482050895690918;8.0;34.0
42;43;1;61;19.380952381;0;20;0.75;10870000;7200;94;3;0.0;61.0;19.380952381;20.0;10870000.0;7200.0;94.0;3.0;42.0;0.0
55;55;7;132;19.7636363636;1;29;0.6551724138;12140000;8900;117;9;1.0;132.0;19.7636363636;29.0;12140000.0;8900.0;117.0;9.0;55.0;0.0
0;1;1;1;3.0;0;0;0.0;113000;250;0;1;0.0;1.0;3.0;0.0;113000.0;250.0;0.0;1.0;0.0;0.0
21;22;3;33;17.1428571429;0;5;1.0;4968000;3425;47;4;0.0;33.0;17.1428571429;5.0;4968000.0;3425.0;47.0;4.0;21.0;0.0
9;10;2;14;14.2;0;6;0.5;1993000;2050;25;1;0.0;14.0;14.2;6.0;1993000.0;2050.0;25.0;1.0;9.0;0.0
4;5;1;5;8.2;0;1;1.0;881000;1150;11;1;0.0;5.0;8.2;1.0;881000.0;1150.0;11.0;1.0;4.0;0.0
16;17;4;26;15.75;0;6;0.6666666667;3980000;2650;34;2;0.0;26.0;15.75;6.0;3980000.0;2650.0;34.0;2.0;16.0;0.0
58;59;20;165;19.9;1;36;0.5555555556;15187000;10050;132;9;0.0;165.0;19.9;36.0;15187000.0;10050.0;132.0;9.0;58.0;0.0
